reviews,titles
"부산사람인데, 진짜 농담안하고 소름돋게 사투리연기가 다들 엉망진창이라 보다가 지금 나와서 쓰고있습니다. 너무 싫어요. 대체 씨잘데없이 사투리는 왜자꾸 안되는걸 다같이 안되면서 쓰고있는건지 알수가없네. 스토리가 어떤지...",감쪽같은 그녀 (A Little Princess)
관람객 웃음코드도 많았고 울기도 많이 울었네요ㅠㅠ 혼영이었는데 기회가 된다면 가족이랑 한 번 더 보고싶습니다..,감쪽같은 그녀 (A Little Princess)
배우들 재능낭비.21세기에 어떻게 이런 영화가 나올 수 있을까..,감쪽같은 그녀 (A Little Princess)
전 왜 눈물이 안나죠.... 할머니와 산 시간이 얼마되지않아서 그런가.. 억지스러운면이 있는거같아요 배우분들 연기는 좋은데 사투리가 좀 어색하고요 대사도 조금 안들리는 부분이 있었어요.. 엄마에 대해 더 자세히 나왔...,감쪽같은 그녀 (A Little Princess)
작위적이고 억지스럽고,감쪽같은 그녀 (A Little Princess)
여주 얼굴이랑 몸매가 괜찮고 뻔한 스토리인줄 알았는데.. 나름 짜임새 있고 구성이 좋습니다. 성인영화 중에 이상수감독 영화는 믿고 볼수 있는 듯,강남 며느리
볼만했다.돈은 아깝지 않은...,강남 며느리
나름 재미도 있고 여배우가 이쁨 감독의 연출이 좋음,강남 며느리
왜 항상 홍상수영화엔 늙은이 꼰대새끼와 젊고 호기심많은 젊은 여성들만 나오는가?,강변호텔 (Hotel by the River)
관람객 죄송합니다 보다 졸앗어요..,강변호텔 (Hotel by the River)
"대충 흑백컬러에 아리까리 알송달송하게 만들어 놓으면, 아무것도 아닌거에 미친듯이 의미부여 하면서, 이런게 영화지, 이런게 예술이지 하면서 자위하는 사람들이 매우 좋아 할 영화.",강변호텔 (Hotel by the River)
재미가 없어요.... ㅠㅠ,강변호텔 (Hotel by the River)
홍상수는 이렇게 무너진다.,강변호텔 (Hotel by the River)
언제헤어지냐 둘이 존나 웃기노,강변호텔 (Hotel by the River)
감독이니까 그래 영화는 계속만들겠지. 근데 이딴영화 배급하는회사는 어디냐 한심하다.,강변호텔 (Hotel by the River)
올해는 쓰레기 영화가 많네요,강변호텔 (Hotel by the River)
뻔하고 뻔뻔하고 역겹다,강변호텔 (Hotel by the River)
"홍상수, 김민희는 미쳤다치자. 이런 영화에 출연하는 배우들, 스텝들은 도대체 무슨 생각일까? 그들마져 싫어지려한다.",강변호텔 (Hotel by the River)
벤포스트 영화는 다 재밌지..뭔가 고독한 마초이미지. 펜도럼이 제일 재밌었음.엘르패닝은 이제 다코다를 넘어버렸네,갤버스턴 (Galveston)
록키 인생 처음부터 끝까지 너무 비참한거 아니냐. 아무리 영화지만 너무했다.,갤버스턴 (Galveston)
갤버스턴 해안씬 너무 좋았다.. 또 다시 보고픔ㅠㅠ,갤버스턴 (Galveston)
이렇게 가슴아픈영화를.. 박평식의 평보고 수준이하라고 생각했다,갤버스턴 (Galveston)
벤 포스터의 매력이 대단,갤버스턴 (Galveston)
세상이 외면해버린 이들의 삶은 폭풍우만큼이나 거칠다. 갤버스턴의 파도는 무심하게 부드럽다. 거친 것과 부드러운 것이 만나면 그렇게 눈물겹고 아름다울 수가 없다.,갤버스턴 (Galveston)
"김새론의 아저씨와 포트만의 레옹까지, 동서양을 막론하고 순정마초에 대한 로망은 꾸준히 먹히는 소재인 듯... 빈약한 스토리를 배우의 연기가 살렸다.",갤버스턴 (Galveston)
ㅇ ㅏ 제주도 사는데 상영관이 없다는게 말이되냐? ㅈㄴ열받네 개보고싶은대,갤버스턴 (Galveston)
엔딩 진짜 ㅈ같은데 연기가 지림,갤버스턴 (Galveston)
아프게 아름다웠던 기억,갤버스턴 (Galveston)
엄청 크네유....대박!!,거유 장모와 실제로 느끼는 사위 (An obscene mother-in-law)
거유는 누구든 환영합니다!,거유 장모와 실제로 느끼는 사위 (An obscene mother-in-law)
강추드립니다. 거유충들은 필감.!!,거유 장모와 실제로 느끼는 사위 (An obscene mother-in-law)
인간적으로 넘크다.. 우리나란 거유 없나,거유 장모와 실제로 느끼는 사위 (An obscene mother-in-law)
살면서 본거중에 제일큰듯 미쳤다 레알 ..,거유 장모와 실제로 느끼는 사위 (An obscene mother-in-law)
포스터마저 이정재 신하균주연 빅매치 포스터 표절ㅋㅋ,건달티처
아무리 저예산이라도 연출좀 똑바로 해라. 이따위 감독한테 돈을주냐? 그돈으로 기부나 해라 ~~,건달티처
영화를 퇴보시키는 자들.,건달티처
만든 사람이나 연기를 한 사람이나 이불킥 안했을까? 손발 오그라들어 보기 힘듦...,건달티처
진짜 태어나서 제일 쓰레기 같은 영화였어요 역겨워서 못보겠습니다 별 반도 아까워요 그러니 감독아 제발 현실을 좀알고 영화를 만들자 현실에는 저렇게 하는 사람이 어딨냐 말투부터 싸우는 액션 역겹다 정말로 ㅋㅋㅋ 배우들...,건달티처
문어다리는 8갠데[.... 10개라고함.ㅜㅜ,건달티처
평이 쓰레기라 13579띄엄띄엄 봤는데도 시간이 아깝네 백수인생 5년중 최고의 시간낭비였다,건달티처
적당히해라 쫌 캬악퉤 시간버리고 눈버리고,건달티처
살다살다 이렇게 쓰레기 학원물 영화는 처음 봄... 모범생 출신이 일진이나 불량 학생들의 세계관을 전혀 모르고 동화 같이 만든 영화... 출연자들이 돈 모아서 이름 알리려고 만든 영화가 아닌가 착각까지 들 정도......,건달티처
왜 0점은 없죠?영화찍을 돈으로 불우이웃이나 도와줬으면 욕이라도 안먹을듯,건달티처
정말 잘 만든 영화네요!!!,걸작 (MASTERPIECE)
와 정말 신인감독같지 않은 스토리 전개 루즈하지않은 연기 하지만 아직 다듬어지지않은 영상이 조금 아쉬웠습니다 다음작품 기대하겠습니다.,걸작 (MASTERPIECE)
캬 ~~~ 날도더운데 시원합니다~~,걸작 (MASTERPIECE)
ㅋㅋ마지막 찰리채플린컨셉,걸작 (MASTERPIECE)
존나 웃기다 !!꼭보세여,걸작 (MASTERPIECE)
이런 영화너무좋아요!! 스탭분들의 노력이 보입니다! 잘봤습니다?,걸작 (MASTERPIECE)
평점 준 사람들 다 지인들인가봄,걸작 (MASTERPIECE)
애드립으로만 만들어진 영화라는게 믿겨지지않네요 ㅎㅎ 새로운 장르인거같아요 보지못했던 영화라서 재밌어요! 다음 영화가 기대됩니다~ 최진욱 감독님 화이팅!,걸작 (MASTERPIECE)
와~이런 영화너무좋아요~,걸작 (MASTERPIECE)
이거 완전 미친 코미디 아니냐,걸작 (MASTERPIECE)
이 영화를 다 본 제가 10점을 받아야겠습니다,걸캅스 (Miss & Mrs. Cops)
이미 출연진이 다 말했잖아요~~~,걸캅스 (Miss & Mrs. Cops)
관람객 이걸 본 내가 레전드. + 각본 유출된거 사실이었네요,걸캅스 (Miss & Mrs. Cops)
관람객 이런류의 영화들중에 최악 중에 최악의 영화였습니다..,걸캅스 (Miss & Mrs. Cops)
관람객 엄마랑 재미있게 봤어요 추천!,걸캅스 (Miss & Mrs. Cops)
관람객 진짜 겁나 웃음 수영이 욕을 진짜 찰지게 잘하는데 그동안 여돌이라고 얼마나 참았을지 생각하면 통탄스러워서 무릎을 탁 침 언니 제발 연기 계속해주세요 수영 말고도 배우들 케미 오졌음,걸캅스 (Miss & Mrs. Cops)
관람객 재밌네요 정말 재밌게봤습니다,걸캅스 (Miss & Mrs. Cops)
관람객 방금 봤는데 또 보고 싶어지는 영화 너무 재밌어요,걸캅스 (Miss & Mrs. Cops)
관람객 중반이후 부터 재미 있었습니나. 초반은 지루해서나올 뻔 했는데 나왔으면 크게 후회 할 뻔 했네요,걸캅스 (Miss & Mrs. Cops)
관람객 웃음과 메세지 둘다 잡은 영화,걸캅스 (Miss & Mrs. Cops)
관람객 우지현배우와 이건우배우는 연기를 아주 오래오래 해줬으면 좋겠다. 계속 보고싶은 배우들이다.,검은 여름 (Black Summer)
극의 흐름이 살짝 소극적이어서 아쉽네요. 좀 더 극명하게 보여줘도 좋을 법했는데,검은 여름 (Black Summer)
클리셰 범벅. 그렇지만 동성애를 다루는 영화라는 점에서 의미 있다,검은 여름 (Black Summer)
동성애에 관심 많은분들이 보면 좋을 영화네요!,검은 여름 (Black Summer)
다양한 시선의 중요성을 보여줌,검은 여름 (Black Summer)
관람객 최고였습니다! 더 좋은 영화 만들어주세요,검은 여름 (Black Summer)
동성애 이해할 수 없던 사람이 보아도 ‘아름다운 사랑 영화’,검은 여름 (Black Summer)
우리 나라에도 언젠가는 밝은 lgbt 영화가 나오길 기대하며...,검은 여름 (Black Summer)
검은하늘이였다 이것이야말로 검다,검은 여름 (Black Summer)
,검은 여름 (Black Summer)
올라프의 1편요약이 기가맥힙니다,겨울왕국 2 (Frozen 2)
크리스토퍼 뮤비에서 좀 흠칫함,겨울왕국 2 (Frozen 2)
관람객 미래가 보이지 않을 때는 지금 해야할 일을 해야 해,겨울왕국 2 (Frozen 2)
관람객 나는 개인적으로 2편이 더 좋았음. 더 깊어진 스토리에 아름다워진 영상미. 한번 더 볼 의향 있음.,겨울왕국 2 (Frozen 2)
엘사옷 보고 어머니들 긴장하는 영화,겨울왕국 2 (Frozen 2)
애기들 울고 떠들고 하는거 보고 엘사 마법으로 얼릴뻔 했네요,겨울왕국 2 (Frozen 2)
관람객 크리스토퍼 혹시 과거에 뮤비찍어본적 있니?왜 이렇게 잘해??...순간 당황했잖아,겨울왕국 2 (Frozen 2)
백마탄 엘사님 Show yourself 장면 진짜 개오집니다 단언컨데 제2의 렛잇고는 into the unknown 아니고 Show yourself 입니다,겨울왕국 2 (Frozen 2)
엘사 물 속에서 말타고 나올 때 대박ㅋㅋㅋㅋ,겨울왕국 2 (Frozen 2)
관람객 겨울왕국 역시는 역시였다. OST도 1편만큼이나 중독성있다고 생각함ㅋㅋㅋ1편만큼 존잼임,겨울왕국 2 (Frozen 2)
"씨네큐브 16:10 계신 여성 어르신 관객분 2분. 넷플릭스가 아니라 극장에서 보기위해 일부러 먼 원정을 왔습니다. 공기와 대사마저 중요한 영화는 삐삐거리는 카톡음, 휴대폰 벨소리로 망쳐놓아 상당히 갑갑합니다. 극...",결혼 이야기 (Marriage Story)
"당신의 장점은 수십 가지가 있지만, 우리가 이별하게 된 건 당신의 단점 하나 때문..",결혼 이야기 (Marriage Story)
작은 칼은 너무 작아 장난감처럼 보이지만 모든 칼은 날카로운 날을 가진 무기다.,결혼 이야기 (Marriage Story)
"한때 내가 가장 사랑했던 사람과 앞으로 비록 같은 길을 걸을 수는 없더라도, 그가 넘어지지 않도록 풀린 운동화 끈을 매줄 수 있다면...",결혼 이야기 (Marriage Story)
"환경이 둘을 이혼으로 밀어붙이고, 서로에게 생채기를 남긴다. 남편은 소송에서 불리하기에 졌다고 생각하고, 아내는 자신이 더 사랑했기에 졌다고 생각한다. 저주는 이기적인 남편이 퍼붓지만, 위로는 아내가 한다. 둘이 폭...",결혼 이야기 (Marriage Story)
서로 고함치며 싸울때 넘 마음 아팠다. 상대방 상처 받으라고 내뱉은 말에 결국 본인이 무릎꿇고 울던 장면이 인상 깊었음...,결혼 이야기 (Marriage Story)
나를 가장 잘 아는 사람이 가장 깊은 상처를 낼 수도 있음을,결혼 이야기 (Marriage Story)
관람객 마치 연극을 한편 본듯했다. 스칼렛요한슨과 애덤드라이버 두 배우만으로도 볼만한 가치가 있었던.. 정말 현실연기가 압권이었다.,결혼 이야기 (Marriage Story)
관람객 “나는 너의 아빠를 처음 본 2초만에 사랑에 빠졌지.”,결혼 이야기 (Marriage Story)
관람객 스포일러가 포함된 감상평입니다. 감상평 보기,결혼 이야기 (Marriage Story)
관람객 근래 영화들 중 가장 놀라움을 선사하는 이 영화는 외로운 자가 가장 많은 것을 본다는 판타지의 탄생 원리를 보란 듯이 담아낸다.,경계선 (BORDER)
"관람객 시각적으로는 불쾌하면서도 아름다운 경험, 내용적으로는 애틋하면서도 역겨운 이야기입니다. 그렇게 시각적/내용적으로 온갖 경계선을 넘나드는, 모순적이면서도 참신한 감정과 심상들을 맛보게 해주는 영화입니다.",경계선 (BORDER)
정말 내가 뭘보고 있는거지하고 생각하게했음.,경계선 (BORDER)
"관람객 우리들은 '평균','보편' 또는 '정상'이라는 이름으로, 얼마나 많은 경계선을 세웠고 또 세우고 있는 것일까?",경계선 (BORDER)
스포일러가 포함된 감상평입니다. 감상평 보기,경계선 (BORDER)
"관람객 찐러브는 내 자신이 누군지 알게 하고, 이전에 없던 자유를 경험하게 한다.그건 인간이나 크롤이나 같다.",경계선 (BORDER)
"충격적이고 난해하지만 너무 좋다. 정상과 비정상, 주류와 비주류. 과연 어떤 경계와 기준으로 나누는 것인가. 여운 오래 남을 듯 싶다. 이 사랑 참 아름답다.",경계선 (BORDER)
나쁜 트롤 착한 트롤 착한 인간 나쁜 인간 남녀의 구분 모든 틀이 없네,경계선 (BORDER)
오랫만에 영화같은 영화를 만났다 배우들의 연기는 소름 돋았고 모든 경계를 허무는 이야기는 보는 내내 시선을 끌었다,경계선 (BORDER)
한동안 멍하게 만드는 영화 굉장히 특이하고 아름답고 좋았다 티나야 너의 삶을 응원해 너는 너 자체로 완벽해,경계선 (BORDER)
재밌게 봤어요!! 윤혜리 배우님 연기가 진짜 좋았습니다.,계절과 계절 사이 (Between the Seasons)
마지막 눈내리는 카페에 그녀가 왔으면했다,계절과 계절 사이 (Between the Seasons)
와 왜 이런 영화가 화자되지 않은거지...?? 이영진 배우님 연기 너무 좋았습니다..,계절과 계절 사이 (Between the Seasons)
누구나 스스로 빛날 수 있는 세상이 되기를,계절과 계절 사이 (Between the Seasons)
몰입도 높게 잘봤습니다!,계절과 계절 사이 (Between the Seasons)
"이런 영화를 1700명밖에 안 보다니, 안타까운 현실. 돈만 처바른 영화들보다 이런 영화가 훨씬 재미있고 여운을 남기는데...여배우 두 사람의 연기가 좋다. 특히 예진이 눈빛 연기가 좋다.",계절과 계절 사이 (Between the Seasons)
윤혜리 매력있다 윤혜리 목소리 또듣고싶다,계절과 계절 사이 (Between the Seasons)
한 사람마다의 고민이 전달된 영화. 왜 인지 가슴이 계속 쿵쿵거린 느낌을 받았다. 본인의 삶에 대한 선택과 고민 그리고 어쩌면 책임까지도 느껴진 영화. 배우들의 표정 연기가 돋보인 영화.,계절과 계절 사이 (Between the Seasons)
"사랑이 뭔지 잔잔하게 말해주는 영화, 배우들의 연기도 좋고, 스토리도 참 좋았습니다. 보고 나서 오래 여운이 남네요.",계절과 계절 사이 (Between the Seasons)
감사합니다. 많이 공감하고 많이 슬프네요.,계절과 계절 사이 (Between the Seasons)
중국 영화가 나아갈 방향은 '황후화' 라 생각함.,고검기담: 소명신검의 부활 (Legend of the Ancient Sword)
다이하드2 클리프행어 만든 감독이라는게 믿기지가 않는다,고검기담: 소명신검의 부활 (Legend of the Ancient Sword)
레니할린이 헤라클레스로 말아먹고 중국으로 튀어 이런거나 만드는구나.,고검기담: 소명신검의 부활 (Legend of the Ancient Sword)
이 영화는 할리우드같이 처음엔 화려한걸 보여줘서 먼가 판이 큰줄알았는데 갈수록 좁아지는 영화다 내가 이 영화를 보면서 무슨 스토리인지 왜 싸우러가는지 이해가 안감 스토리를 모르겠지만 끝까지보긴했다 몇번 나눠서 봤...,고검기담: 소명신검의 부활 (Legend of the Ancient Sword)
레니할린.... 컷스로드 아일랜드. 롱키스굿나잇. 다이하드2. 이런게 생각나는데...헹님아. 용돈 떨어졌냐? 이딴 쓰레기 영화나 만들고,고검기담: 소명신검의 부활 (Legend of the Ancient Sword)
스포일러가 포함된 감상평입니다. 감상평 보기,고검기담: 소명신검의 부활 (Legend of the Ancient Sword)
에이.. 눈버렷다. 캐치온은 뭔 새영화에 이딴걸 처넣냐,고검기담: 소명신검의 부활 (Legend of the Ancient Sword)
"왠만하면 중국영화 재밋게보는데, 이건 좀 너무하네. 액션외엔 볼거리 1도 없음",고검기담: 소명신검의 부활 (Legend of the Ancient Sword)
액션 너무 티나잖아... 게다가 긴장감 전혀 없는 유아용 판타지..ㅜㅜ,고검기담: 소명신검의 부활 (Legend of the Ancient Sword)
CG도 개판이고 초반부터 몰입이 안됌,고검기담: 소명신검의 부활 (Legend of the Ancient Sword)
나두 모르게 코골며 악령에게 빨려드러간다,고골: 악령과의 전쟁 (Gogol.Viy)
전편의 장점은 사라지고 지루한 마법만이 남았다,고골: 악령과의 전쟁 (Gogol.Viy)
러시아 영화는 왜 이렇게 하나 같이 재미가 없고 결말도 이 모양이냐?,고골: 악령과의 전쟁 (Gogol.Viy)
그냥 평범한 영화임,고골: 악령과의 전쟁 (Gogol.Viy)
관객수51명그분들 존경하십니다~~!!,고골: 악령과의 전쟁 (Gogol.Viy)
별 한개도 아깝다....,고골: 악령과의 전쟁 (Gogol.Viy)
나쁘지 않았어 그정도? 다음편에서 얼마나 해답을 줄지? 반전을 줄지? 모르겠지만 다음편에서 얼마나 해답을 줄지 기다린다 에서 6점 일딴 던짐...,고골: 악령과의 전쟁 (Gogol.Viy)
너무재밋엇다 ㄹㅇ 말이필요없다 무조건보셈 띵작임,고골: 악령과의 전쟁 (Gogol.Viy)
마녀의관 이런거 좋아하는데 신선하네 끝까지 신비롭던 고골 ~재밉게봐씀,고골: 악령과의 전쟁 (Gogol.Viy)
선평점 후다운로드,고골: 악령과의 전쟁 (Gogol.Viy)
시사회에서 봤는데 애들이 좋아해요...,고릴라와 슈퍼레이스 (Louis & Nolan: The big Cheese Race)
아이들이 너무 재미있게 봤다면서 좋아했어요,고릴라와 슈퍼레이스 (Louis & Nolan: The big Cheese Race)
재밌었어요.요즘 아이들 보는 영화 자극적인 소재가 많은데 따뜻했습니다^^,고릴라와 슈퍼레이스 (Louis & Nolan: The big Cheese Race)
아이들이 재미있게 봤네요평화로운 마을 모습도 예쁘고경기를 준비하는 루이스도 귀엽구요~~애들은 뺏긴치즈를 다시 만드는 장면도 기억에 남는다고 하더군요~~^^,고릴라와 슈퍼레이스 (Louis & Nolan: The big Cheese Race)
관람객 기대안하고 갔는데 엄마인저까지 집중해서 봤네요~아이들에게 좋은 메세지도 담겨있는 영화였어요,고릴라와 슈퍼레이스 (Louis & Nolan: The big Cheese Race)
관람객 아이가 재밌게 봤어요 ~~,고릴라와 슈퍼레이스 (Louis & Nolan: The big Cheese Race)
관람객 아이들이랑 보기에 좋습니다.,고릴라와 슈퍼레이스 (Louis & Nolan: The big Cheese Race)
관람객 겁많은 6살 딸아이와 봤는데 무섭지않게 재미있게 잘봤어요~,고릴라와 슈퍼레이스 (Louis & Nolan: The big Cheese Race)
조카가 너무 좋아하네요~ 어릴때 봤던 애니메이션들도 떠오르고ㅎㅎ 흥미로웠어요~,고릴라와 슈퍼레이스 (Louis & Nolan: The big Cheese Race)
재미도 있고 교육적이라 조카들과 보기에 좋은 애니메이션으로 강추합니다!!,고릴라와 슈퍼레이스 (Louis & Nolan: The big Cheese Race)
세상 참 내 맘대로 되는게 없다..!!,고봉수 감독 단편선
고봉수사단의 시작. 이때부터 싹이보였군,고봉수 감독 단편선
우리 현실에서 약자들의 삶을 잘 표현한 작품이라 공감이 갑니다,고봉수 감독 단편선
험악하고 더러운 뒷골목에사는 좋은사람들,고봉수 감독 단편선
고봉수감독의 영화가 좋다,고봉수 감독 단편선
다 보고 나면 겨울이 그립고 또 기다려지네요,고봉수 감독 단편선
진짜로 X나 보고싶다,고봉수 감독 단편선
이럴 줄 알았잖아. 다 아는 사람들끼리 이거 왜 이래. 이웅빈은 영어만 잘하는 줄 알았더니 연변말도 잘해.,고봉수 감독 단편선
진심 고봉수는 천재임.,고봉수 감독 단편선
기다려! 너 내가 이 과자떼기 하나먹으려고 얼마나 기다렸는줄알아? 레알 웃김,고봉수 감독 단편선
고양이키우는사람들은 감정이입이 잘됩니다 다 큰 남자 혼자가서 펑펑울다왔네요 영화 좋았습니다.,고양이 여행 리포트 (The Travelling Cat Chronicles)
영화 엄청 좋은 작품인데 상영관수가 왜케 적어요????,고양이 여행 리포트 (The Travelling Cat Chronicles)
너무 감동적ㅠㅠ 반려동물을 안키우는 사람이 봐도 좋을 영화네요,고양이 여행 리포트 (The Travelling Cat Chronicles)
고양이 덕후에게 추천금방 몰입됨,고양이 여행 리포트 (The Travelling Cat Chronicles)
남주가 자꾸 cf찍듯 미소짓는게 넘 불편. 고양이가 연기 제일 잘 함. 조연 중 연기 오래 한 배우들 많았는데 왜 이리 어색한지.. 연출 실패인듯.. 정말이지 너무들 연기를 못해서 이런 연기에도 울고 있는 내 자신이...,고양이 여행 리포트 (The Travelling Cat Chronicles)
집사라면 반드시 봐야 할 영화...! 집에 있는 고양이 녀석이 아무리 털을 날려대도 꼭 끌어안고 사랑한다 말해주세요.ㅠ,고양이 여행 리포트 (The Travelling Cat Chronicles)
기름종이 보고 울음 터뜨릴 때는 심장이 멎을뻔 했어요. 저물어 가는 냄새라는 표현도 슬펐고요. 많이 울었지만 그래도 가슴한켠 따뜻해지는 영화였답니다. 엔딩 크레딧 꼭 보고 나오세요. 노래가 정말 좋았고 중간중간 나오...,고양이 여행 리포트 (The Travelling Cat Chronicles)
"고양이 입장에서 말하는게 재치있고 정말 저런 생각할까 싶더라구요 초반부터 중간중간 슬픈 장면 있어서 훌쩍였는데 후반부에서 정말 절정으로 슬퍼서 소리안내고 우느라 힘들었어요ㅜㅜㅜ반려동물이 있는 분, 동물을 사랑하는 분...",고양이 여행 리포트 (The Travelling Cat Chronicles)
고양이 키우는 사람들은 눈물없이 못볼 영화. 고양이는 귀여웠지만 남주 인생 너무 기구하다...,고양이 여행 리포트 (The Travelling Cat Chronicles)
상영관이 왜이렇게 없나요...,고양이 여행 리포트 (The Travelling Cat Chronicles)
콩 : 야ㅋㅋㅋㅋ 얘랑 싸우라고?,고질라: 킹 오브 몬스터 (Godzilla: King of the Monsters)
정신나간 엄마의 이승탈출 프로젝트,고질라: 킹 오브 몬스터 (Godzilla: King of the Monsters)
고질라 : 방사능 한잔했습니다..인간들 연기가 별로일수도 있습니다..하지만 고질라 이거하나만 기억해주십쇼,고질라: 킹 오브 몬스터 (Godzilla: King of the Monsters)
관람객 괜찮았는데 내 뒤에 왼쪽으로 앉은 돼지새끼가 영화 120분이 넘도록 계속 처먹어서 바스락 거리고 접쩝거리고 봉지과자 소리 겁나 내고 영화에 집중을 못하게 만들어서 짜증났음 덕* 메가박스 5/29 18:20 영화 혼자...,고질라: 킹 오브 몬스터 (Godzilla: King of the Monsters)
로단 이 녀석 사회생활좀 했구나?,고질라: 킹 오브 몬스터 (Godzilla: King of the Monsters)
스케일 대박임 진짜 고질라 멋있음ㅋㅋㅋㅋ,고질라: 킹 오브 몬스터 (Godzilla: King of the Monsters)
관람객 영상통화 중에 나오는 중요한 대사 씹어먹기 + 고유명사를 제멋대로 번역함... 박지훈이 또...,고질라: 킹 오브 몬스터 (Godzilla: King of the Monsters)
살다살다 나방 때문에 울컥해보네요..,고질라: 킹 오브 몬스터 (Godzilla: King of the Monsters)
영화평점 남기는데다가 추천 비추천 이런것좀하지마라 영화에대한 평점을 남기라고..,고질라: 킹 오브 몬스터 (Godzilla: King of the Monsters)
관람객 모스라 귀엽다. 주연으로 영화 언제 나오냐,고질라: 킹 오브 몬스터 (Godzilla: King of the Monsters)
고흐의 삶을 통째로 녹여버린 이 아름다운 영화에 대한 평이 1도 없다는거가 너무 슬프다....당신들과 같이 느끼고싶을뿐이다. 이 감동을....,"고흐, 영원의 문에서 (At Eternity's Gate)"
"고흐 자화상이랑 싱크로율 무엇,, 진짜 고흐가 살아있는 것 같아요ㅠㅠ","고흐, 영원의 문에서 (At Eternity's Gate)"
내용과 연기 시나리오 좋은데 카메라 기법 속이 울렁거린다,"고흐, 영원의 문에서 (At Eternity's Gate)"
지금까지 반 고흐를 다룬 많은 영화 중에서 고흐의 내면에 깊이 침잠한 손꼽는 수작. 내 재능은 후대를 위한 것이라 읊조리는 단호함과 어린아이처럼 사랑을 갈구하는 처연함이 그에 대한 애틋함을 더한다. 윌렘 대포는 그만...,"고흐, 영원의 문에서 (At Eternity's Gate)"
윌렘대포의 미친듯한 여기력에 또한번 박수를 보낸다.영화의 색감에서 감독의 노력과 정성이 느껴진다.,"고흐, 영원의 문에서 (At Eternity's Gate)"
"관람객 개인적으로 ""고흐의 인생에서 배울 수 있는 점""을 찾으러 갔다가 중반 이후부터는 한 영혼이 살다간 ""고흐""의 인생 자체를 사랑하게 만들어준 영화. 그의 삶 자체에 존경의 마음을 보냅니다....","고흐, 영원의 문에서 (At Eternity's Gate)"
고흐의 인생을 아는분껜 최고의 영화고흐의 그림만 아는분껜 최고의 수면제,"고흐, 영원의 문에서 (At Eternity's Gate)"
카메라와 소리를 통해 고흐가 바라보았을 세상을 보여준다.,"고흐, 영원의 문에서 (At Eternity's Gate)"
빈센트 30대인데... 고뇌하는 젊은이인데ㅠㅠ60대배우가 연기하다니요ㅠㅠ너무 늙게나와서 가장 아쉽네요 ..연기는 좋았지만 사람들이 고흐 할아버지인줄 알겠어요ㅠㅠ,"고흐, 영원의 문에서 (At Eternity's Gate)"
고흐의 고독과 불안이 내 안으로 흘러 들어왔다.,"고흐, 영원의 문에서 (At Eternity's Gate)"
하 진짜 감독 처치하고싶다,공포의 묘지 (Pet Sematary)
공포의 트럭이네요 트럭말고는 특별히 무섭지가않습니다,공포의 묘지 (Pet Sematary)
알바생들 다 꺼지고 4.10일 CGV에서 22:20분 영화로 보고 오자마자 작성합니다.영화감독이 맞나 싶을 정도로 스토리에 개연성이 1도 없고 떡밥만 던져놓고 회수도 없이 허무하게 엔딩을 끝내버렸습니다.이거 볼 돈으...,공포의 묘지 (Pet Sematary)
죽었던 고양이가 살아 돌아와 어떻게 변했는 지 알면서도 아빠가 딸을 굳이 살리려 한 개연성이 부족해 보였음,공포의 묘지 (Pet Sematary)
관람객 트럭이 제일 무섭네;;;;,공포의 묘지 (Pet Sematary)
나름 공포영화 챙겨보는 매니안데 평점댓글보고 완전 별론가보네 하면서 봤드만 예상보다 재밌었음. 엄청난 수작은 아니라도 개망작도 아닌거 같은데 왤케 평가가 안좋지; 난 강추까진 아니라도 볼만했음,공포의 묘지 (Pet Sematary)
죽은사람 건들지마라 혼난다,공포의 묘지 (Pet Sematary)
평점 높게준애들 평 써놓은거보면 알바티 팍팍 나지않나? 낚이지말고 보지마세요... 공포영화 매니아인데다 초반평점 괜찮은거보고 봤는데 B급 수준도 못되는 저질입니다 개연성 부족한건 공포영화니 감안할수 있는데 서프라이즈...,공포의 묘지 (Pet Sematary)
"개인적으로 나쁘진 않았는데, 다들 얼마나 기대를 하고 오셨는지 궁금함. 공포영화 나름 좋아하고, 챙겨보는 입장에서는 잘 보고 나왔는데.. 물론 대다수의 댓글들이 지적하는 것처럼 개연성에서 벗어나는 설정이 있긴 했지만...",공포의 묘지 (Pet Sematary)
이렇게 욕할정돈아니었는데 왜케 욕많징 ; 괜찮게 봤는데,공포의 묘지 (Pet Sematary)
쓰레기 아 더심한말 없나 최악의 말을 하고 싶은대 생각이 안난다 젠장 ㅠ,공포의 신생아실 (The Nursery)
이거보느니 차라리 창밖에 구름 지나가는거 보는게 훨씬 재밌음,공포의 신생아실 (The Nursery)
첫 평점에 이런말 하기 그렇지만 정말 오지게 재미없네요... 미국식 주택 + 한국형 처녀귀신이라니 ㅋㅋㅋ 전설의 고향인줄 알았어요...시퍼런 자외선광 때문에 눈이 아팠던 게 오래도록 기억에 남을듯 하네요. 시간 많으...,공포의 신생아실 (The Nursery)
그냥 축 쳐졌어요,관전남
과도한 문신이 관람에 거슬린다.,관전녀
MIT 에서 행사 알바했던 민도윤...그때 참 착했었던 기억이 난다.,관전녀
광대들 평점조작단으로 바꾸자,광대들: 풍문조작단 (Jesters: The Game Changers)
