reviews,titles
반일 운동이랑 일본영화 보는거랑 상관없어요~! 꼭보세요,10년 (Ten Years Japan)
플랜 75가 많이 인상적이였습니다.,10년 (Ten Years Japan)
총괄 프로듀스 고레에다 히로카즈.. 이것만으로도 봐야할 이유는 충분한 영화,10년 (Ten Years Japan)
무심하게 패치를 붙이고 가던 간호사의 동선카프카의 변신이 끝없이 떠오르는 미래 자본주의의 민낯첫번째 단편이 가장 좋다,10년 (Ten Years Japan)
<블랙미러>를 연상키시는 세 번째 에피소드와 완성도가 제일 높았던 마지막 에피소드만 좋았다. 나머지 에피소드들은 묵직한 주제에 눌려서 이야기를 하다 만 느낌.,10년 (Ten Years Japan)
10년 후 근미래에 대한 각기 다른 상상이 흥미로운 작품이었습니다^^,10년 (Ten Years Japan)
우리와 너무도 닮은 이웃이기에 근미래적 상상력은 더욱 또렷한 현실감으로 와닿은거 같다,10년 (Ten Years Japan)
"이건 연기가 아니라 리얼임. 배우가 갈수록 눈에 띄게 수척해집니다. 이것은 전쟁영화라기보단 생존영화...연출도 훌륭해서 2시간 넘는데도 시간 가는 줄 모르고 봤어요. 덧붙여 독일=일본, 노르웨이=우리나라 라고 생각하...",12번째 솔저 (The 12th Man)
관람객 노르웨이국민들의 조국을 사랑하는 숭고한정신을 볼수있어 너무좋았습니다,12번째 솔저 (The 12th Man)
명대사 : 나는 영웅이라고 생각하지 않는다 나를 도운사람들이 영웅들이다.,12번째 솔저 (The 12th Man)
감동. 동지 팔아먹고 살아난 변절자가 민주투사 행세하며 대중을 기만하고 권력을 누리는 그런 놈들도 이 영화를 보고 아닥하면 좋겠다,12번째 솔저 (The 12th Man)
보는 내내 내가 같이 거기에 있는 줄... 완전 몰입해서 봤고 중간에 애기랑 말하는 장면에서는 나도 울컥ㅠㅠ 순록 신도 멋있긴 했음,12번째 솔저 (The 12th Man)
관람객 긴장도 최고입니다.. 전쟁은 정말 없어야 합니다.,12번째 솔저 (The 12th Man)
명작입니다. 광고를 안해서 그렇지,12번째 솔저 (The 12th Man)
한국쓰레기영화백만개보다더좋은영화,12번째 솔저 (The 12th Man)
긴장감 어마어마함 믿기 힘든 기적,12번째 솔저 (The 12th Man)
온몸이 긴장해서 나올때 내가 실려나가는 기분 ㅋㅋㅋ,12번째 솔저 (The 12th Man)
관객의 입장에서는 아버지를 이해할 수 있다. 하지만 내가 아들의 입장이었다면 이해할 수 있을까..,13년의 공백 (blank 13)
인간이 잘 살았다는 의미는 무엇일까? 한 사람이라도 나를 기억하며 행복할수있다면..마음 따뜻할수있다면..그런 아버지였음을 알게해줘서 고맙다는 말이 마음을 울림,13년의 공백 (blank 13)
"아버지와 한 인간 사이, 마침내 경계는 무너졌고 그들은 결국 한 인간이자 아버지인 그의 이해를 택했다",13년의 공백 (blank 13)
우리는 부모님에 대해 얼마나 알고 있을까.부모와 한사람의 모습 사이에서 힘들어하는모든 부모님을 위한 영화.오늘 부모님께 '오늘 하루 뭐하셨어요?' 라고물어봐야겠다.,13년의 공백 (blank 13)
훌룽한 영화예요. 가족이란 무엇일까요 제가 가족에게 어떤 존재인지 생각해 보게 되었어요.,13년의 공백 (blank 13)
관람객 원망스러웠던 고인의 죽음을 받아들임에 있어 이상적인 모습을 제시하는 영화.,13년의 공백 (blank 13)
관람객 감독으로서 사이토 타쿠미를 기대하게 됬다.타카하시 잇세이의 눈빛은 여전히 좋구나~,13년의 공백 (blank 13)
"아버지라는 존재, 기억, 그리고 사람",13년의 공백 (blank 13)
